PO_NUMBER,INVOICE_ID,INVOICE_NUM,SOURCE,INV_LINE_NUMBER,ACCOUNT_CODE,COMPANY_CODE,MIC,INVOICE_DATE,INVOICE_AMOUNT,TRAN_AMOUNT,EXTC,STATE,VENDOR_NAME,INVOICE_FR,FINAL_DESCRIPTION,PROJ_NUM,TAX_AMOUNT,TAX_TYPE,ACCOUNTING_DATE,NORAD_FLAG,DRIVERID,invoice_month,invoice_year
null,349471636,ERP0000079875398,71ERPAP,1,4130.55,SS00,,2023-01-16,17.9300000000,18,CYD,GA,FOR CUSTOMER,3494716361,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349471654,ERP0000079902928,71ERPAP,1,4130.55,SS00,,2023-01-17,9.3300000000,9,CYD,GA,FOR CUSTOMER,3494716541,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349471694,ERP0000079903231,71ERPAP,1,4130.55,SS00,,2023-01-17,83.5800000000,84,CYD,GA,FOR CUSTOMER,3494716941,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349471762,ERP0000079903246,71ERPAP,1,4130.55,SS00,,2023-01-17,12.8500000000,13,CYD,GA,FOR CUSTOMER,3494717621,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349471936,ERP0000079907852,71ERPAP,1,4130.55,SS00,,2023-01-17,9.0000000000,9,CYD,GA,FOR CUSTOMER,3494719361,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349472108,254806,SCM,1,2003.167C,3301,ANTOR1K,2023-01-13,373.2500000000,373,520,IL,NEXIUS SOLUTIONS INC>9M,3494721081,Tele PUC-Radio Sys - Noncellular Mobile | Material Purchases,MA0YYAC,null,,2023-01-31,N,null,2023-01,2023
null,349472645,ERP0000079903098,71ERPAP,1,4130.55,SS00,,2023-01-17,42.9600000000,43,CYD,GA,FOR CUSTOMER,3494726451,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349472650,ERP0000079905945,71ERPAP,1,4130.55,SS00,,2023-01-17,77.9100000000,78,CYD,GA,FOR CUSTOMER,3494726501,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349472724,AK39242015,SCM,1,4010.273,1003,,2023-01-09,291600.0000000000,291600,CYD,IN,APPLE INC,3494727241,A/P-Business Unit Accruals-Other Capital | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349472906,ERP0000079906032,71ERPAP,1,4130.55,SS00,,2023-01-17,64.2600000000,64,CYD,GA,FOR CUSTOMER,3494729061,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
